epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1793,3.22157,5.39412,2.05203,0.15012,0.03284,0.02378,0.00622,2.9169,3.61298,1.87917,8.82e-05,8.82e-05,8.82e-05
2,23.1442,2.78568,3.4401,1.72272,0.22394,0.17031,0.04323,0.0144,2.68454,3.48014,1.65076,0.000181378,0.000181378,0.000181378
3,34.0297,2.59704,2.91408,1.57263,0.51175,0.11189,0.05649,0.01933,2.69034,5.0739,1.71503,0.000273624,0.000273624,0.000273624
4,44.6275,2.5759,2.78434,1.56253,0.39242,0.10676,0.0695,0.02361,2.57804,5.51728,1.63011,0.000364939,0.000364939,0.000364939
5,55.0262,2.53806,2.68497,1.5661,0.44506,0.17373,0.06507,0.02136,2.53368,3.14925,1.58097,0.000455323,0.000455323,0.000455323
6,65.3518,2.52916,2.67516,1.5554,0.25154,0.15423,0.05375,0.01892,2.51755,11.8073,1.61048,0.000544775,0.000544775,0.000544775
7,75.6406,2.53598,2.58523,1.51495,0.10355,0.21119,0.07699,0.02394,2.53787,3.80085,1.59145,0.000570536,0.000570536,0.000570536
8,85.9967,2.48292,2.58042,1.51642,0.26762,0.17796,0.06277,0.01922,2.53814,3.23738,1.61894,0.000567626,0.000567626,0.000567626
9,96.2838,2.48755,2.54047,1.54443,0.06464,0.19895,0.05671,0.01933,2.47932,5.33455,1.55348,0.000564715,0.000564715,0.000564715
10,106.537,2.44734,2.49829,1.53548,0.14916,0.1828,0.11644,0.03616,2.5362,2.60855,1.61717,0.000561805,0.000561805,0.000561805
11,116.885,2.44911,2.39284,1.51477,0.15876,0.16486,0.11779,0.03816,2.51958,2.80944,1.61442,0.000558894,0.000558894,0.000558894
12,127.262,2.42096,2.33891,1.50459,0.26623,0.15951,0.12105,0.03761,2.53,2.64259,1.59166,0.000555983,0.000555983,0.000555983
13,137.554,2.41639,2.36769,1.5114,0.28255,0.19607,0.12569,0.03934,2.5166,2.75058,1.57506,0.000553073,0.000553073,0.000553073
14,147.927,2.42838,2.29593,1.48459,0.27814,0.14419,0.11818,0.03784,2.5142,2.86002,1.59306,0.000550162,0.000550162,0.000550162
15,158.189,2.44082,2.29485,1.49326,0.14277,0.17333,0.11437,0.03648,2.52359,2.45639,1.54789,0.000547252,0.000547252,0.000547252
16,168.512,2.4175,2.28937,1.48717,0.20137,0.24936,0.13439,0.04408,2.42146,2.38738,1.52663,0.000544341,0.000544341,0.000544341
17,178.854,2.39387,2.30089,1.48608,0.22589,0.21051,0.15513,0.051,2.43396,2.21311,1.54455,0.00054143,0.00054143,0.00054143
18,189.202,2.36729,2.25356,1.46221,0.15362,0.21531,0.15519,0.05971,2.44969,2.42812,1.56991,0.00053852,0.00053852,0.00053852
19,199.476,2.33011,2.17448,1.46761,0.24745,0.21686,0.1889,0.06493,2.44793,2.20509,1.56444,0.000535609,0.000535609,0.000535609
20,209.81,2.37006,2.19607,1.45389,0.25822,0.2489,0.17279,0.06013,2.4362,2.08917,1.57334,0.000532699,0.000532699,0.000532699
21,220.12,2.31287,2.14577,1.44816,0.19929,0.23253,0.18478,0.06251,2.40974,2.35169,1.52482,0.000529788,0.000529788,0.000529788
22,230.463,2.32259,2.085,1.41946,0.26526,0.27098,0.20508,0.07138,2.40444,2.0493,1.54045,0.000526877,0.000526877,0.000526877
23,240.841,2.31217,2.11365,1.45426,0.376,0.25597,0.19179,0.06306,2.50323,2.46806,1.57467,0.000523967,0.000523967,0.000523967
24,251.146,2.31191,2.07898,1.42496,0.2835,0.22985,0.18828,0.06478,2.44476,2.51242,1.57889,0.000521056,0.000521056,0.000521056
25,261.459,2.28956,2.04204,1.43439,0.18015,0.27388,0.18469,0.06571,2.47264,2.35449,1.58347,0.000518146,0.000518146,0.000518146
26,271.764,2.29411,2.03623,1.45596,0.23257,0.25624,0.21911,0.08073,2.45358,2.14638,1.56962,0.000515235,0.000515235,0.000515235
27,282.158,2.2514,2.05277,1.43332,0.36416,0.31594,0.23145,0.0734,2.46552,2.07378,1.58928,0.000512324,0.000512324,0.000512324
28,292.46,2.29764,2.02761,1.43504,0.45905,0.29167,0.26043,0.09283,2.38544,2.11106,1.5242,0.000509414,0.000509414,0.000509414
29,302.823,2.30232,2.02293,1.40924,0.40699,0.26022,0.19825,0.06711,2.48834,2.21417,1.54436,0.000506503,0.000506503,0.000506503
30,313.176,2.2733,1.93657,1.42603,0.36579,0.31795,0.25453,0.08691,2.41648,2.20576,1.54727,0.000503593,0.000503593,0.000503593
31,323.487,2.23899,1.9302,1.41798,0.33987,0.24614,0.21229,0.0745,2.43177,2.14849,1.5292,0.000500682,0.000500682,0.000500682
32,334.984,2.20517,1.88353,1.41965,0.47219,0.30242,0.2924,0.10971,2.42625,2.077,1.54215,0.000497771,0.000497771,0.000497771
33,345.452,2.22445,1.90476,1.41003,0.36742,0.3055,0.25162,0.09515,2.40535,2.12681,1.54502,0.000494861,0.000494861,0.000494861
34,355.865,2.24164,1.91283,1.4309,0.46453,0.36057,0.28093,0.10298,2.43482,2.21481,1.5691,0.00049195,0.00049195,0.00049195
35,366.217,2.22003,1.92831,1.40693,0.49564,0.32065,0.27861,0.10654,2.41729,1.96464,1.54188,0.00048904,0.00048904,0.00048904
36,376.517,2.2089,1.85059,1.39771,0.48557,0.32148,0.33432,0.12339,2.40179,1.926,1.53148,0.000486129,0.000486129,0.000486129
37,386.88,2.20515,1.86801,1.41772,0.51085,0.30272,0.29793,0.10024,2.44265,2.08882,1.53602,0.000483218,0.000483218,0.000483218
38,397.201,2.21859,1.8558,1.39426,0.53686,0.33924,0.32834,0.11944,2.41096,1.92029,1.52514,0.000480308,0.000480308,0.000480308
39,407.559,2.16689,1.83981,1.38361,0.49195,0.33263,0.30589,0.1102,2.46291,2.19685,1.55596,0.000477397,0.000477397,0.000477397
40,417.881,2.173,1.80159,1.39028,0.49201,0.35957,0.29652,0.10063,2.4269,2.12397,1.52575,0.000474487,0.000474487,0.000474487
41,428.218,2.18412,1.81238,1.40265,0.52071,0.30645,0.31405,0.11393,2.37931,1.99312,1.52426,0.000471576,0.000471576,0.000471576
42,438.51,2.18335,1.77599,1.38105,0.55843,0.2631,0.27093,0.09673,2.42608,2.15295,1.50401,0.000468665,0.000468665,0.000468665
43,448.813,2.16654,1.77953,1.3699,0.58595,0.34235,0.33592,0.12823,2.4306,1.96034,1.55154,0.000465755,0.000465755,0.000465755
44,459.128,2.12384,1.74436,1.38544,0.57936,0.35908,0.35553,0.13802,2.34756,1.83495,1.51219,0.000462844,0.000462844,0.000462844
45,469.458,2.11198,1.70196,1.36584,0.58366,0.36913,0.36864,0.14583,2.40402,1.97953,1.5214,0.000459934,0.000459934,0.000459934
46,479.812,2.14892,1.72966,1.34803,0.53965,0.33553,0.33811,0.13247,2.42595,2.00165,1.50689,0.000457023,0.000457023,0.000457023
47,490.094,2.09142,1.66621,1.33353,0.63229,0.3488,0.38382,0.13083,2.39028,2.03086,1.52241,0.000454112,0.000454112,0.000454112
48,500.401,2.09282,1.71809,1.35203,0.51398,0.37935,0.38622,0.14628,2.40474,2.17506,1.55236,0.000451202,0.000451202,0.000451202
49,510.748,2.12043,1.67567,1.32899,0.55786,0.38578,0.44637,0.17458,2.3704,1.88708,1.51229,0.000448291,0.000448291,0.000448291
50,521.134,2.08959,1.62786,1.34591,0.58471,0.38999,0.3606,0.13794,2.42743,1.99117,1.54111,0.000445381,0.000445381,0.000445381
51,531.451,2.05606,1.59058,1.33034,0.63198,0.3572,0.39615,0.18174,2.42333,2.05298,1.56632,0.00044247,0.00044247,0.00044247
52,541.865,2.08673,1.60675,1.31836,0.65081,0.38682,0.44392,0.18243,2.35621,1.93483,1.50333,0.000439559,0.000439559,0.000439559
53,552.276,2.07763,1.63036,1.33284,0.61973,0.4075,0.42052,0.17111,2.35436,1.83085,1.51388,0.000436649,0.000436649,0.000436649
54,562.526,2.04687,1.58374,1.33628,0.57855,0.45988,0.43049,0.17985,2.44564,1.87211,1.54346,0.000433738,0.000433738,0.000433738
55,572.769,2.06454,1.58158,1.33658,0.65512,0.37765,0.42076,0.17211,2.42843,1.85714,1.53871,0.000430828,0.000430828,0.000430828
56,582.981,2.008,1.55858,1.29689,0.6795,0.4265,0.4944,0.21714,2.33445,1.80655,1.49378,0.000427917,0.000427917,0.000427917
57,593.302,1.9825,1.52323,1.32304,0.65232,0.42232,0.48936,0.21073,2.3582,1.844,1.51504,0.000425006,0.000425006,0.000425006
58,603.585,2.03268,1.54017,1.30228,0.70909,0.45906,0.48122,0.20649,2.39366,1.81004,1.52801,0.000422096,0.000422096,0.000422096
59,613.858,1.99526,1.50612,1.31208,0.7168,0.47945,0.49878,0.22706,2.31855,1.73929,1.51028,0.000419185,0.000419185,0.000419185
60,624.184,2.0248,1.52149,1.30957,0.66113,0.40139,0.51283,0.22883,2.43803,1.96509,1.57504,0.000416275,0.000416275,0.000416275
61,634.52,2.01596,1.50536,1.28664,0.53996,0.43019,0.43099,0.19589,2.40621,1.92793,1.55027,0.000413364,0.000413364,0.000413364
62,644.795,1.96383,1.475,1.29696,0.6571,0.44736,0.52306,0.24752,2.42576,1.98074,1.56633,0.000410453,0.000410453,0.000410453
63,655.103,1.98,1.46959,1.28384,0.6441,0.48011,0.57738,0.2517,2.43373,1.91818,1.52825,0.000407543,0.000407543,0.000407543
64,665.456,2.00066,1.47723,1.29168,0.68988,0.41447,0.46643,0.19494,2.38033,1.86535,1.504,0.000404632,0.000404632,0.000404632
65,675.785,1.98142,1.46402,1.2761,0.67575,0.46645,0.5196,0.23012,2.40245,1.87573,1.53794,0.000401722,0.000401722,0.000401722
66,686.047,1.90349,1.45213,1.28613,0.69886,0.46181,0.49842,0.21305,2.377,1.6979,1.51614,0.000398811,0.000398811,0.000398811
67,696.319,1.90222,1.39429,1.25692,0.73798,0.47408,0.56706,0.28159,2.32006,1.79707,1.52906,0.0003959,0.0003959,0.0003959
68,706.669,1.95369,1.45327,1.28688,0.72729,0.45391,0.55194,0.27085,2.34036,1.74176,1.53983,0.00039299,0.00039299,0.00039299
69,716.938,1.91633,1.4298,1.27367,0.70307,0.49511,0.70155,0.32785,2.3485,1.71593,1.51575,0.000390079,0.000390079,0.000390079
70,727.319,1.88954,1.36822,1.25235,0.73251,0.47459,0.61284,0.27515,2.47956,1.8564,1.59795,0.000387169,0.000387169,0.000387169
71,737.669,1.89077,1.31415,1.25377,0.71009,0.43671,0.56778,0.25289,2.44212,1.73849,1.59042,0.000384258,0.000384258,0.000384258
72,748.974,1.87993,1.33814,1.24748,0.6455,0.54122,0.6209,0.3058,2.38386,1.89931,1.52156,0.000381347,0.000381347,0.000381347
73,759.277,1.90581,1.33475,1.24681,0.70359,0.45523,0.5672,0.2706,2.38536,1.82644,1.52966,0.000378437,0.000378437,0.000378437
74,769.545,1.89322,1.31381,1.2617,0.76718,0.49444,0.70614,0.37567,2.37949,1.7188,1.53926,0.000375526,0.000375526,0.000375526
75,779.916,1.8577,1.30823,1.22087,0.71563,0.47855,0.66477,0.36104,2.37265,1.75301,1.53382,0.000372616,0.000372616,0.000372616
76,790.279,1.90345,1.36225,1.24418,0.75533,0.50481,0.65148,0.3415,2.35192,1.6285,1.518,0.000369705,0.000369705,0.000369705
77,800.552,1.89447,1.32481,1.23141,0.69775,0.54151,0.64314,0.35441,2.35876,1.74583,1.52738,0.000366794,0.000366794,0.000366794
78,810.904,1.84401,1.31197,1.23044,0.60868,0.65593,0.74508,0.39134,2.38652,1.60145,1.56164,0.000363884,0.000363884,0.000363884
79,821.327,1.86416,1.35243,1.24512,0.6557,0.67425,0.72253,0.38106,2.32742,1.6463,1.508,0.000360973,0.000360973,0.000360973
80,831.656,1.84901,1.29742,1.21616,0.63957,0.7494,0.7465,0.37234,2.38494,1.73523,1.56126,0.000358063,0.000358063,0.000358063
81,841.957,1.76269,1.2054,1.1912,0.55136,0.73766,0.72766,0.37314,2.37185,1.62702,1.54111,0.000355152,0.000355152,0.000355152
82,852.373,1.78059,1.19974,1.19357,0.76364,0.58576,0.73914,0.37049,2.41318,1.68018,1.55221,0.000352241,0.000352241,0.000352241
83,862.674,1.79239,1.20769,1.21354,0.73966,0.56784,0.71528,0.38341,2.44334,1.8485,1.57377,0.000349331,0.000349331,0.000349331
84,873.097,1.80838,1.23976,1.21073,0.73538,0.64012,0.75005,0.39282,2.4203,1.82824,1.55669,0.00034642,0.00034642,0.00034642
85,883.446,1.78998,1.23687,1.21558,0.57547,0.68607,0.70449,0.36454,2.36744,1.98502,1.55099,0.00034351,0.00034351,0.00034351
86,893.78,1.7926,1.20073,1.19899,0.64792,0.62762,0.7334,0.36798,2.35532,1.74316,1.52601,0.000340599,0.000340599,0.000340599
87,904.11,1.7436,1.17105,1.18143,0.7568,0.57571,0.73992,0.38645,2.3559,1.64494,1.5341,0.000337688,0.000337688,0.000337688
88,914.481,1.81011,1.21719,1.20066,0.77997,0.53419,0.72738,0.39706,2.36666,1.63767,1.52015,0.000334778,0.000334778,0.000334778
89,924.906,1.72128,1.2128,1.19253,0.6724,0.64006,0.72403,0.40341,2.30608,1.61557,1.51091,0.000331867,0.000331867,0.000331867
90,935.344,1.76389,1.18983,1.18145,0.78024,0.62134,0.7579,0.42892,2.32218,1.67257,1.50197,0.000328957,0.000328957,0.000328957
91,945.832,1.75437,1.18193,1.20498,0.65168,0.70004,0.76802,0.45082,2.328,1.67398,1.49795,0.000326046,0.000326046,0.000326046
92,956.41,1.71213,1.14016,1.18148,0.65942,0.65091,0.74568,0.42453,2.39339,1.65152,1.55377,0.000323135,0.000323135,0.000323135
93,966.807,1.72677,1.15262,1.19219,0.746,0.5812,0.73813,0.38379,2.40869,1.65511,1.56998,0.000320225,0.000320225,0.000320225
94,977.173,1.74493,1.16142,1.18296,0.76756,0.65123,0.71443,0.3804,2.39543,1.61441,1.57393,0.000317314,0.000317314,0.000317314
95,987.49,1.73886,1.14891,1.18872,0.606,0.78788,0.74377,0.41561,2.36386,1.70282,1.52873,0.000314404,0.000314404,0.000314404
96,997.861,1.71894,1.13117,1.19455,0.70598,0.6584,0.77218,0.41909,2.3438,1.68183,1.52525,0.000311493,0.000311493,0.000311493
97,1008.19,1.76838,1.18366,1.1693,0.75103,0.65189,0.77073,0.44726,2.33363,1.57922,1.52912,0.000308582,0.000308582,0.000308582
98,1018.55,1.72246,1.12769,1.16491,0.77441,0.62081,0.77171,0.44424,2.34203,1.80639,1.53299,0.000305672,0.000305672,0.000305672
99,1028.89,1.722,1.127,1.19118,0.68415,0.72571,0.74374,0.4087,2.36249,1.98805,1.53571,0.000302761,0.000302761,0.000302761
100,1039.21,1.67314,1.11392,1.16096,0.70507,0.71385,0.74297,0.4126,2.37899,1.71804,1.52244,0.000299851,0.000299851,0.000299851
101,1049.55,1.63823,1.08956,1.15212,0.6748,0.74415,0.75936,0.43219,2.34292,1.66676,1.5257,0.00029694,0.00029694,0.00029694
102,1059.87,1.61391,1.02978,1.15061,0.71522,0.76156,0.77379,0.39243,2.40243,1.68143,1.57238,0.000294029,0.000294029,0.000294029
103,1070.19,1.60309,1.03827,1.12673,0.73764,0.7501,0.76869,0.40422,2.46214,1.77583,1.60037,0.000291119,0.000291119,0.000291119
104,1080.49,1.66108,1.05317,1.16908,0.7757,0.75612,0.78576,0.42398,2.40758,1.6206,1.56324,0.000288208,0.000288208,0.000288208
105,1090.78,1.66371,1.05791,1.15408,0.75908,0.73473,0.77664,0.43445,2.3625,1.58951,1.52921,0.000285298,0.000285298,0.000285298
106,1101.12,1.61224,1.03159,1.122,0.77721,0.76327,0.79553,0.41131,2.35142,1.51516,1.53653,0.000282387,0.000282387,0.000282387
107,1112.36,1.62085,1.03338,1.1448,0.79127,0.74502,0.80179,0.42872,2.30449,1.49328,1.52971,0.000279476,0.000279476,0.000279476
108,1122.65,1.65401,1.05848,1.14069,0.67417,0.78819,0.78304,0.4548,2.2923,1.62026,1.5316,0.000276566,0.000276566,0.000276566
109,1132.96,1.62292,1.06393,1.14837,0.69917,0.79454,0.78957,0.43676,2.33076,1.67674,1.55925,0.000273655,0.000273655,0.000273655
110,1143.26,1.58797,0.99891,1.14447,0.69701,0.81194,0.7984,0.47198,2.32633,1.63066,1.54042,0.000270745,0.000270745,0.000270745
111,1153.64,1.57273,1.00152,1.12694,0.71876,0.79174,0.78468,0.47266,2.35283,1.61143,1.54452,0.000267834,0.000267834,0.000267834
112,1163.97,1.61004,1.00878,1.13054,0.64259,0.7925,0.78143,0.48406,2.34736,1.6864,1.56198,0.000264923,0.000264923,0.000264923
113,1174.4,1.627,1.04271,1.156,0.7683,0.74449,0.78842,0.46743,2.36486,1.66162,1.56378,0.000262013,0.000262013,0.000262013
114,1184.74,1.60293,1.02676,1.14325,0.74456,0.70854,0.78572,0.44982,2.353,1.77804,1.53218,0.000259102,0.000259102,0.000259102
115,1195.04,1.59001,1.01489,1.12019,0.79823,0.74859,0.79396,0.47981,2.43242,1.72465,1.60648,0.000256192,0.000256192,0.000256192
116,1205.34,1.59644,0.994,1.12016,0.74668,0.75249,0.78649,0.4669,2.38183,1.63767,1.54007,0.000253281,0.000253281,0.000253281
